id,origin,destination,start_time,kind,origin_real_id,dest_real_id,origin_x,origin_y,dest_x,dest_y
272,178,57,1761,Human,36936655#4,-650145324#1,4021.64,2178.39,3827.79,2130.02
273,134,147,1074,Human,-153730017,-36933307#1,4215.46,2041.61,3678.83,2456.48
278,169,149,72,Human,-394456385#1,-156460683#8,3537.42,2334.41,3515.31,3709.15
279,82,143,126,Human,610135147#1,36936423#4,4435.44,1332.57,3450.17,3047.08
280,181,150,469,Human,-153730937,36936590#1,4061.01,2472.95,3580.73,1628.15
281,182,31,293,Human,36936423#3,610135147#1,3405.97,3064.26,4386.22,1330.98
284,184,151,732,Human,-698024153,394456380,3650.26,1196.71,3798.0,3026.19
285,185,152,289,Human,39820659#2,156467000#0,4422.63,2456.98,3112.51,3053.48
290,189,2,1792,Human,-187827289,-156460683#5,2782.44,2996.94,3501.02,3995.22
291,58,155,832,Human,-153730010#2,-394446869,4532.39,2399.14,2994.76,1921.63
292,190,31,106,Human,-319058604#1,610135147#1,3375.9,2729.18,4386.22,1330.98
299,192,134,1345,Human,-650145330#0,269702544,3731.83,1949.7,3899.67,2386.95
301,193,83,1250,Human,-156460691,-37052277#2,3293.89,4209.57,4040.07,3269.98
303,195,158,1593,Human,39820664#7,-156480737#1,3436.635,2227.915,3871.5,3010.13
311,188,58,922,Human,-394443147#0,36950518#0,3536.6,873.76,4316.43,3044.17
312,200,40,1079,Human,-37055902#1,156467000#3,4178.73,3177.43,3001.2,3022.72
313,201,161,577,Human,37051441#2,-243836884#1,4216.24,3070.12,3284.93,1186.31
314,202,144,226,Human,-165172642#1,-156460681#1,3727.99,1408.3,3354.75,3818.0
316,203,57,1652,Human,-218916903,-650145324#1,3669.8,2831.64,3827.79,2130.02
318,204,135,1687,Human,187827276,36288851#0,3139.32,3136.04,3518.05,2505.32
323,85,165,688,Human,697624157#1,-394446875,2898.56,3028.21,4074.36,2085.22
324,208,166,1323,Human,153730936#3,36785117#0,3973.95,2391.87,3182.75,3052.41
325,209,29,167,Human,-36288851#1,36936327,3540.82,2493.34,3608.17,2609.61
327,210,148,1347,Human,37051113#1,1239117013#2,3736.31,3038.33,3908.6,2004.19
329,212,52,248,Human,36936480#1,36935232,3492.56,1506.08,4007.34,2632.4
330,22,161,1546,Human,319058644,-243836884#1,4323.02,2338.06,3284.93,1186.31
333,214,29,646,Human,-36933126#1,36936327,3754.22,2246.56,3608.17,2609.61
337,121,172,1382,Human,-476687231#1,-165170994#4,4029.1,3657.47,3436.9,925.36
338,217,173,740,Human,165170685#1,319779133#0,3633.26,1132.63,4376.96,1325.57
339,218,30,1340,Human,319779133#0,165170685#1,4321.23,1323.77,3650.16,1196.12
344,222,132,522,Human,-153730022#1,-698024153,4487.29,2226.95,3661.06,1265.1
349,225,177,1028,Human,-35802071#0,37056055#1,3317.8,2557.32,3636.8,3146.22
358,104,182,677,Human,-153732963#2,-153730022#1,4056.95,2170.4,4524.08,2233.0
361,232,183,1523,Human,-36936749#1,-319058611,4338.8,2229.15,4616.42,2660.09
362,233,31,417,Human,36289394#2,610135147#1,4171.53,2512.88,4386.22,1330.98
365,185,47,1358,Human,39820659#2,-328471845#0,4422.63,2456.98,4593.32,2654.54
366,143,47,35,Human,-153730011,-328471845#0,4283.63,2122.53,4593.32,2654.54
368,58,181,118,Human,-153730010#2,-153730017,4532.39,2399.14,4206.22,1995.43
370,234,185,231,Human,-165172165#1,-35802071#2,3867.53,1404.44,3374.95,2593.39
372,34,14,50,Human,-165170818#5,-698026762,3515.73,884.56,4914.44,2707.08
375,47,181,1136,Human,-153730020#0,-153730017,4070.25,1891.39,4206.22,1995.43
377,186,132,818,Human,-165170818#3,-698024153,3490.43,816.38,3661.06,1265.1
379,217,188,1434,Human,165170685#1,-509025806#0,3633.26,1132.63,3131.91,1224.29
380,238,14,690,Human,394443152#0,-698026762,3529.66,987.24,4914.44,2707.08
381,150,189,1347,Human,36936749#4,319058592#0,4278.74,2067.0,4253.46,1327.11
383,166,187,150,Human,36936727#1,698024155#1,4291.14,2331.14,4244.18,1321.09
384,184,0,787,Human,-698024153,-243836884#5,3650.26,1196.71,3452.5,1409.57
386,240,71,1248,Human,-165170681#1,-35802097#1,3412.55,1078.47,3036.51,2745.83
390,184,155,1311,Human,-698024153,-394446869,3650.26,1196.71,2994.76,1921.63
391,219,46,1052,Human,-165170681#0,-394443146,3428.09,1075.67,3541.6,886.41
392,188,132,1268,Human,-394443147#0,-698024153,3536.6,873.76,3661.06,1265.1
394,184,161,373,Human,-698024153,-243836884#1,3650.26,1196.71,3284.93,1186.31
397,105,60,1252,Human,-394443146,-165172642#0,3577.1,969.88,3705.59,1526.3
398,239,174,592,Human,-243836884#5,-165172165#1,3478.25,1454.75,3724.71,1283.93
400,227,138,1438,Human,319058646#0,302162780#1,3716.77,1273.42,3589.37,1868.36
402,202,0,983,Human,-165172642#1,-243836884#5,3727.99,1408.3,3452.5,1409.57
403,243,60,323,Human,-165171446,-165172642#0,3361.38,1031.7,3705.59,1526.3
404,240,60,802,Human,-165170681#1,-165172642#0,3412.55,1078.47,3705.59,1526.3
405,1,161,1024,Human,-165171783#1,-243836884#1,3548.82,1309.9,3284.93,1186.31
407,243,0,1389,Human,-165171446,-243836884#5,3361.38,1031.7,3452.5,1409.57
409,65,30,374,Human,-165172642#0,165170685#1,3719.07,1475.13,3650.16,1196.12
410,9,8,1151,Human,1239117013#2,-165171783#1,3751.5,1890.18,3548.82,1310.1
415,186,178,1261,Human,-165170818#3,-165171783#2,3490.43,816.38,3551.37,1305.58
418,186,66,509,Human,-165170818#3,-165171782,3490.43,816.38,3420.67,1164.81
425,184,126,1771,Human,-698024153,-610220874#1,3650.26,1196.71,3471.58,2031.06
428,251,172,490,Human,-1119245693,-165170994#4,4139.15,2785.65,3436.9,925.36
429,242,197,1059,Human,-165172165#0,-1119245693,3710.49,1281.62,4138.96,2785.71
435,254,95,1289,Human,165170817,319058612#1,3526.59,1068.19,3945.85,2862.2250000000004
440,256,60,454,Human,-319779154,-165172642#0,4222.62,1945.21,3705.59,1526.3
444,79,202,246,Human,-36289599#0,-319058629,4242.73,2651.65,3714.68,1220.19
445,257,172,350,Human,159922990,-165170994#4,4141.75,2789.83,3436.9,925.36
447,206,36,1116,Human,-319058629,-153730020#0,3728.58,1209.42,3966.29,1830.89
449,74,200,821,Human,269702561#0,-201772616#1,3946.26,2664.14,3966.16,1152.56
452,32,108,1602,Human,-153730018,-650145330#0,4227.83,1859.78,3732.31,1948.22
453,258,125,681,Human,-1239117045,-36933151#0,4010.81,1632.45,3484.69,2216.71
454,227,108,646,Human,319058646#0,-650145330#0,3716.77,1273.42,3732.31,1948.22
457,260,172,370,Human,-36289599#1,-165170994#4,4194.85,2721.91,3436.9,925.36
461,105,148,89,Human,-394443146,1239117013#2,3577.1,969.88,3908.6,2004.19
462,184,130,37,Human,-698024153,698024155#0,3650.26,1196.71,4190.9,1319.06
467,241,207,671,Human,-394443151#2,-165170818#8,3302.71,1554.92,3521.21,996.37
470,245,161,1427,Human,319058646#1,-243836884#1,3702.91,1216.22,3284.93,1186.31
473,254,132,1089,Human,165170817,-698024153,3526.59,1068.19,3661.06,1265.1
474,117,141,397,Human,-36293459#0,36936423#2,3699.05,3580.57,3399.42,3066.79
475,12,16,1006,Human,-36294081#1,-156460683#0,4177.48,3912.82,3345.56,4371.28
476,262,208,1485,Human,-156460683#1,-36293459#0,3458.43,4240.79,3541.21,3616.11
479,263,139,17,Human,-156460683#8,-35801597#3,3537.4,3623.57,3072.88,2591.9
485,268,78,489,Human,319058598,-37054066,3175.9,3094.68,3769.23,3560.98
486,28,147,34,Human,-156460683#0,-36933307#1,3402.48,4301.31,3678.83,2456.48
489,193,71,508,Human,-156460691,-35802097#1,3293.89,4209.57,3036.51,2745.83
490,262,71,1301,Human,-156460683#1,-35802097#1,3458.43,4240.79,3036.51,2745.83
492,193,2,1226,Human,-156460691,-156460683#5,3293.89,4209.57,3501.02,3995.22
494,271,2,1614,Human,-156460677,-156460683#5,3358.75,3960.31,3501.02,3995.22
495,271,2,912,Human,-156460677,-156460683#5,3358.75,3960.31,3501.02,3995.22
496,193,104,185,Human,-156460691,918716574#0,3293.89,4209.57,3773.79,2917.64
497,272,71,563,Human,-187827283#2,-35802097#1,2837.21,3266.1,3036.51,2745.83
500,274,78,515,Human,-1238426234#0,-37054066,3043.55,2187.95,3769.23,3560.98
504,277,214,1001,Human,-339701637,319058612#0,2971.65,2420.08,3965.09,2877.17
512,282,152,1042,Human,-35802097#1,156467000#0,3008.14,2746.51,3112.51,3053.48
515,186,177,503,Human,-165170818#3,37056055#1,3490.43,816.38,3636.8,3146.22
518,223,71,379,Human,36288851#0,-35802097#1,3394.52,2593.98,3036.51,2745.83
519,225,172,196,Human,-35802071#0,-165170994#4,3317.8,2557.32,3436.9,925.36
520,249,105,672,Human,-165170818#1,-156480737#2,3422.49,780.17,3903.65,3084.79
