id,origin,destination,start_time,kind,origin_real_id,dest_real_id,origin_x,origin_y,dest_x,dest_y
64,53,47,1107,Human,36289159#1,-328471845#0,3945.83,2652.31,4593.32,2654.54
65,54,3,786,Human,165170685#0,-153730010#2,3533.55,1093.43,4571.17,2348.21
66,55,48,642,Human,-36950439#1,-36950506#2,4493.3,2985.34,4700.18,2679.41
67,56,49,757,Human,-319779150#1,319058608#0,3959.72,1968.43,4324.42,2615.53
68,57,13,1625,Human,269702561#1,165172163,3998.19,2776.3,3660.57,1291.97
69,58,50,133,Human,-153730010#2,-394456402#1,4532.39,2399.14,3335.39,4167.92
70,59,51,895,Human,37088258#0,319058643#0,4287.62,2956.09,2556.1,2881.37
71,60,52,1150,Human,-394446876#0,36935232,4460.03,2579.16,4007.34,2632.4
72,61,53,2,Human,-328471845#0,157555049,4564.89,2648.34,4209.73,2946.46
73,29,22,51,Human,-36934835#0,36950506#0,3634.66,2775.7,4828.98,2712.21
74,62,54,211,Human,-153732963#0,-710478296,4161.16,2120.46,2455.87,2768.56
75,63,52,1410,Human,187827272,36935232,3128.08,3122.69,4007.34,2632.4
76,30,55,972,Human,-153730939#1,36936236#1,4190.23,2632.93,3815.36,2730.82
77,61,56,1281,Human,-328471845#0,-918716575,4564.89,2648.34,3836.29,2895.17
78,46,57,1152,Human,-36950439#0,-650145324#1,4465.26,2981.3,3827.79,2130.02
79,64,58,969,Human,-36950506#2,36950518#0,4646.92,2666.76,4316.43,3044.17
80,65,59,1538,Human,-165172642#0,-1119245061,3719.07,1475.13,4157.33,3406.51
81,66,60,278,Human,-153730008#2,-165172642#0,4268.59,1937.85,3705.59,1526.3
82,67,61,101,Human,-36950657#0,48956586#5,4481.08,2780.32,4274.58,2933.49
83,68,62,1301,Human,48956586#5,-36950657#0,4283.2,2925.21,4436.23,2625.44
84,69,63,588,Human,37088256,-36289599#0,4216.66,2905.68,4268.62,2629.65
85,31,18,441,Human,-319058589#1,319058644,4593.5,2996.35,4321.64,2344.8
86,70,3,1278,Human,270968317#0,-153730010#2,3950.91,2852.63,4571.17,2348.21
87,71,48,551,Human,-37055902#2,-36950506#2,4182.61,3242.53,4700.18,2679.41
88,72,64,545,Human,36950506#0,39820659#0,4869.97,2719.55,4314.13,2424.18
89,73,2,1520,Human,-1339510609#0,-156460683#5,4495.01,2614.76,3501.02,3995.22
90,74,48,1401,Human,269702561#0,-36950506#2,3946.26,2664.14,4700.18,2679.41
91,75,65,325,Human,-710476024#1,157553231,4294.97,2463.85,4192.97,2738.59
92,76,12,1624,Human,36935232,36936373#3,4052.0,2739.71,3899.86,2469.32
93,70,66,1298,Human,270968317#0,-165171782,3950.91,2852.63,3420.67,1164.81
94,77,67,331,Human,153730941#1,-394446871#1,4194.45,2634.57,4325.25,2384.1
95,72,68,1220,Human,36950506#0,48955996,4869.97,2719.55,4139.45,2887.46
96,38,69,804,Human,39820659#3,37050051,4519.49,2510.63,4215.06,2952.07
97,78,47,1551,Human,332885734#2,-328471845#0,4589.02,3230.73,4593.32,2654.54
98,79,3,1797,Human,-36289599#0,-153730010#2,4242.73,2651.65,4571.17,2348.21
99,59,42,1702,Human,37088258#0,37050033#0,4287.62,2956.09,4120.11,2933.12
100,77,48,1792,Human,153730941#1,-36950506#2,4194.45,2634.57,4700.18,2679.41
101,30,34,761,Human,-153730939#1,-1239117016#2,4190.23,2632.93,4705.05,2572.13
102,38,52,492,Human,39820659#3,36935232,4519.49,2510.63,4007.34,2632.4
103,80,70,1059,Human,35801597#4,-1339510609#0,3074.53,2616.62,4514.35,2626.35
104,81,71,1489,Human,-394446873#2,-35802097#1,3014.98,2057.24,3036.51,2745.83
105,40,72,265,Human,-157555050#0,918716574#1,4393.79,2874.05,3751.98,2925.05
106,82,58,1454,Human,610135147#1,36950518#0,4435.44,1332.57,4316.43,3044.17
107,36,27,940,Human,-36294383#6,-36293459#8,4212.88,3721.15,3965.27,3464.79
108,83,48,1153,Human,-859784611,-36950506#2,4824.42,3087.15,4700.18,2679.41
109,84,63,450,Human,48955997,-36289599#0,4182.54,2774.98,4268.62,2629.65
110,79,73,1350,Human,-36289599#0,48955997,4242.73,2651.65,4145.64,2781.84
111,64,37,763,Human,-36950506#2,-36950439#0,4646.92,2666.76,4300.89,2961.26
112,23,14,431,Human,269702544,-698026762,3722.7,2378.13,4914.44,2707.08
113,85,74,1398,Human,697624157#1,37050033#1,2898.56,3028.21,4141.15,2942.78
114,86,5,1751,Human,-156480737#3,-1119245060#0,3964.31,3277.83,4071.46,3446.76
115,87,75,817,Human,37050033#1,394446867#0,4133.27,2938.46,3428.07,2623.37
116,88,74,1177,Human,394446867#0,37050033#1,3396.33,2603.72,4141.15,2942.78
117,89,76,353,Human,36936373#4,36936423#6,3900.31,2459.95,3483.13,3034.23
118,90,77,682,Human,-394443151#0,327343097#1,3232.24,1462.16,2908.89,2512.78
119,91,78,240,Human,37054132,-37054066,3357.53,3830.86,3769.23,3560.98
120,92,79,1081,Human,-697704135,-1119245057#2,3315.24,3908.59,4127.53,3603.44
121,93,80,721,Human,39820659#0,269702561#1,4313.94,2424.12,4015.63,2810.18
122,94,81,402,Human,-156460683#5,-1057740876,3506.04,3889.74,2946.02,1684.47
123,95,82,176,Human,153730020#1,1239117012#1,4083.8,1895.32,3831.36,1955.83
124,96,83,8,Human,-319058602#0,-37052277#2,4348.17,3287.25,4040.07,3269.98
125,97,84,908,Human,-37052277#2,-319058602#0,4031.66,3211.36,4219.19,3374.78
126,43,85,78,Human,-394456356#1,-319779150#2,4372.51,3216.85,3965.38,1960.39
127,76,86,255,Human,36935232,-157553230,4052.0,2739.71,4153.93,2457.42
128,98,3,855,Human,-157553230,-153730010#2,4144.54,2503.79,4571.17,2348.21
129,99,87,354,Human,48955996,-153730015#1,4140.51,2840.61,4343.63,2207.42
130,100,4,909,Human,-36950518#1,-394443151#2,4325.56,3088.11,3249.2,1483.56
131,101,3,305,Human,-36936288,-153730010#2,3771.39,2749.23,4571.17,2348.21
132,3,78,974,Human,-1119245057#1,-37054066,4123.04,3588.62,3769.23,3560.98
133,46,88,29,Human,-36950439#0,36936407#1,4465.26,2981.3,3873.6,2882.48
134,94,89,268,Human,-156460683#5,-36294383#6,3506.04,3889.74,4275.12,3531.19
135,18,27,656,Human,-37055563#1,-36293459#8,4516.98,3642.19,3965.27,3464.79
136,102,57,371,Human,-36294383#4,-650145324#1,4283.16,3479.08,3827.79,2130.02
137,103,69,1800,Human,-36293752#1,37050051,3898.74,3515.09,4215.06,2952.07
138,104,3,1151,Human,-153732963#2,-153730010#2,4056.95,2170.4,4571.17,2348.21
139,76,2,1319,Human,36935232,-156460683#5,4052.0,2739.71,3501.02,3995.22
140,105,90,871,Human,-394443146,39820659#1,3577.1,969.88,4413.61,2454.28
141,86,33,391,Human,-156480737#3,1119245067,3964.31,3277.83,4153.68,2947.95
142,8,91,1291,Human,1119245067,-156480737#3,4203.72,2952.09,3933.94,3192.69
143,106,2,1117,Human,1119245069,-156460683#5,4169.3,2902.24,3501.02,3995.22
144,107,92,1526,Human,-36934835#1,-36294383#8,3579.39,2720.93,4234.09,3863.96
145,91,10,1538,Human,37054132,187827276,3357.53,3830.86,3101.9,3184.81
146,108,27,1575,Human,-37051625#0,-36293459#8,4014.39,3156.48,3965.27,3464.79
147,94,93,1443,Human,-156460683#5,-37088332#3,3506.04,3889.74,4313.44,2757.08
148,49,83,1629,Human,-36293752#5,-37052277#2,3937.76,3614.93,4040.07,3269.98
149,8,37,694,Human,1119245067,-36950439#0,4203.72,2952.09,4300.89,2961.26
150,109,1,756,Human,-156460683#7,37052930,3513.31,3717.1,3560.97,3019.52
151,110,65,654,Human,37051872#0,157553231,4035.96,3463.37,4192.97,2738.59
152,111,27,1399,Human,37050515#2,-36293459#8,3934.68,2984.74,3965.27,3464.79
153,112,94,259,Human,-36293752#6,36935040#2,3947.05,3638.69,3471.1,2990.86
154,113,2,272,Human,-1119245070,-156460683#5,3987.71,2888.77,3501.02,3995.22
155,78,95,955,Human,332885734#2,319058612#1,4589.02,3230.73,3945.85,2862.2250000000004
156,114,96,1060,Human,36936262#1,153730941#1,3742.84,2915.2,4236.06,2654.51
157,103,97,460,Human,-36293752#1,36936262#1,3898.74,3515.09,3745.02,2921.63
158,42,98,1528,Human,-36294081#3,-36934835#0,4173.95,3956.32,3673.97,2819.83
159,115,57,456,Human,-36288941#1,-650145324#1,3920.23,2754.04,3827.79,2130.02
160,116,99,79,Human,37050515#1,-36950439#1,3960.81,2978.22,4474.44,2982.54
161,117,2,1152,Human,-36293459#0,-156460683#5,3699.05,3580.57,3501.02,3995.22
162,97,100,1750,Human,-37052277#2,1119245069,4031.66,3211.36,4146.16,2896.01
163,118,101,677,Human,-36294383#9,153730936#3,4556.44,3888.2,3909.75,2386.72
164,119,102,1749,Human,-1119245061,36936407#0,4210.82,3379.03,3891.48,2875.87
165,120,103,1778,Human,157553231,-156460672,4194.86,2731.56,3441.35,3968.36
166,121,104,98,Human,-476687231#1,918716574#0,4029.1,3657.47,3773.79,2917.64
167,122,33,1259,Human,-36293459#3,1119245067,3840.27,3511.59,4153.68,2947.95
168,123,83,1602,Human,-394456379,-37052277#2,4529.85,2988.53,4040.07,3269.98
169,58,2,101,Human,-153730010#2,-156460683#5,4532.39,2399.14,3501.02,3995.22
170,124,47,1775,Human,36934854#1,-328471845#0,3772.48,2810.38,4593.32,2654.54
171,125,105,904,Human,-153730934,-156480737#2,4070.29,2570.07,3903.65,3084.79
172,126,49,1630,Human,-36288941#0,319058608#0,3930.36,2798.02,4324.42,2615.53
173,127,106,1015,Human,-710478296,-36293752#1,2365.52,2771.98,3898.63,3514.81
174,128,83,698,Human,36936727#4,-37052277#2,4155.16,2279.37,4040.07,3269.98
175,77,107,1539,Human,153730941#1,-1109771198#0,4194.45,2634.57,3844.59,2803.21
176,23,83,1612,Human,269702544,-37052277#2,3722.7,2378.13,4040.07,3269.98
177,12,108,544,Human,-36294081#1,-650145330#0,4177.48,3912.82,3732.31,1948.22
178,129,109,965,Human,-36293459#8,-153730939#0,4017.48,3459.62,4099.55,2672.14
179,130,110,34,Human,-394446871#1,36936590#6,4411.05,2399.53,3656.16,1766.12
180,131,111,1317,Human,-153732960#0,-1024000539#1,4012.59,2075.93,4170.36,3281.61
181,132,112,1756,Human,-153730935,-48956015,4145.19,2656.45,4136.19,2898.88
182,133,33,928,Human,37050033#0,1119245067,3993.62,2897.49,4153.68,2947.95
183,134,78,172,Human,-153730017,-37054066,4215.46,2041.61,3769.23,3560.98
184,135,52,193,Human,157555049,36935232,4211.8,2919.22,4007.34,2632.4
185,133,65,551,Human,37050033#0,157553231,3993.62,2897.49,4192.97,2738.59
186,120,42,1451,Human,157553231,37050033#0,4194.86,2731.56,4120.11,2933.12
187,136,100,49,Human,319058612#1,1119245069,3956.375,2874.34,4146.16,2896.01
188,137,48,502,Human,1238956370,-36950506#2,3613.94,2990.81,4700.18,2679.41
189,138,113,808,Human,-1299820133,36936396#0,3998.16,2974.81,4066.13,2788.05
190,30,60,575,Human,-153730939#1,-165172642#0,4190.23,2632.93,3705.59,1526.3
191,139,33,1105,Human,36936373#1,1119245067,3897.03,2558.65,4153.68,2947.95
192,93,28,1593,Human,39820659#0,-37052277#3,4313.94,2424.12,4030.33,3202.05
193,6,0,1652,Human,-859784039#0,-243836884#5,4354.56,3187.94,3452.5,1409.57
194,87,83,184,Human,37050033#1,-37052277#2,4133.27,2938.46,4040.07,3269.98
195,97,74,1084,Human,-37052277#2,37050033#1,4031.66,3211.36,4141.15,2942.78
196,1,114,1501,Human,-165171783#1,406210869#0,3548.82,1309.9,4083.78,2886.23
197,140,95,76,Human,36936396#0,319058612#1,4034.9,2805.24,3945.85,2862.2250000000004
198,47,115,1638,Human,-153730020#0,-153730016#0,4070.25,1891.39,4462.69,2191.67
199,141,47,1603,Human,918716574#1,-328471845#0,3763.13,2921.21,4593.32,2654.54
200,142,83,1784,Human,270968317#1,-37052277#2,4023.16,2812.26,4040.07,3269.98
201,115,33,350,Human,-36288941#1,1119245067,3920.23,2754.04,4153.68,2947.95
202,7,30,378,Human,36936590#6,165170685#1,3624.39,1709.24,3650.16,1196.12
203,143,116,1578,Human,-153730011,36936396#3,4283.63,2122.53,4132.03,2750.69
204,144,117,1242,Human,878854448,36933307#2,4188.16,2728.58,3742.75,2526.52
205,23,63,697,Human,269702544,-36289599#0,3722.7,2378.13,4268.62,2629.65
206,145,95,367,Human,270968324,319058612#1,3983.9,2439.01,3945.85,2862.2250000000004
207,29,96,1204,Human,-36934835#0,153730941#1,3634.66,2775.7,4236.06,2654.51
208,146,118,1608,Human,-165172307#0,-36294383#5,3837.47,1456.67,4281.55,3486.0
209,147,119,1473,Human,319058602#1,1239117012#5,4356.15,3275.19,3665.9,1794.7
210,148,120,184,Human,-394456385#0,-36950506#1,3615.21,2304.51,4820.49,2706.93
211,149,31,1726,Human,-339700984,610135147#1,3213.47,2576.37,4386.22,1330.98
212,94,31,100,Human,-156460683#5,610135147#1,3506.04,3889.74,4386.22,1330.98
213,150,95,287,Human,36936749#4,319058612#1,4278.74,2067.0,3945.85,2862.2250000000004
214,151,48,1453,Human,-35801699#1,-36950506#2,3094.16,2735.95,4700.18,2679.41
215,98,45,424,Human,-157553230,36936373#1,4144.54,2503.79,3897.31,2538.38
216,98,4,789,Human,-157553230,-394443151#2,4144.54,2503.79,3249.2,1483.56
217,125,121,914,Human,-153730934,-36288941#0,4070.29,2570.07,3944.06,2849.73
218,152,57,1792,Human,36935235#3,-650145324#1,4102.43,2546.32,3827.79,2130.02
219,100,122,8,Human,-36950518#1,36936590#5,4325.56,3088.11,3619.86,1700.55
220,153,77,904,Human,156467000#3,327343097#1,3060.11,3034.91,2908.89,2512.78
221,64,123,214,Human,-36950506#2,-36933126#1,4646.92,2666.76,3698.61,2168.79
222,46,119,307,Human,-36950439#0,1239117012#5,4465.26,2981.3,3665.9,1794.7
223,154,124,766,Human,-159922662#1,-153732963#2,3756.22,3333.66,4085.66,2148.34
224,155,125,1537,Human,1239117012#2,-36933151#0,3823.5,1950.69,3484.69,2216.71
225,6,36,1026,Human,-859784039#0,-153730020#0,4354.56,3187.94,3966.29,1830.89
226,55,126,489,Human,-36950439#1,-610220874#1,4493.3,2985.34,3471.58,2031.06
227,156,127,262,Human,36284386#0,-1339510610,3548.57,2494.72,4397.92,2616.99
228,157,128,789,Human,-650145324#0,-36289599#1,3815.6,2130.46,4238.33,2657.81
229,143,63,1435,Human,-153730011,-36289599#0,4283.63,2122.53,4268.62,2629.65
230,158,129,518,Human,-36288941#2,-319779150#1,3902.8,2683.13,3947.23,1986.25
231,23,95,333,Human,269702544,319058612#1,3722.7,2378.13,3945.85,2862.2250000000004
232,84,126,473,Human,48955997,-610220874#1,4182.54,2774.98,3471.58,2031.06
233,159,126,1477,Human,36950518#0,-610220874#1,4296.23,2966.61,3471.58,2031.06
234,160,130,104,Human,-156460672,698024155#0,3371.14,3929.08,4190.9,1319.06
235,161,131,810,Human,-37640679#2,-153730022#0,2684.34,2654.11,4619.76,2107.77
236,162,31,319,Human,-37053056#5,610135147#1,3434.77,3215.92,4386.22,1330.98
237,26,125,1789,Human,319058608#0,-36933151#0,4389.91,2616.46,3484.69,2216.71
238,26,132,491,Human,319058608#0,-698024153,4389.91,2616.46,3661.06,1265.1
239,23,57,1675,Human,269702544,-650145324#1,3722.7,2378.13,3827.79,2130.02
240,39,47,387,Human,-35801597#3,-328471845#0,3072.22,2602.05,4593.32,2654.54
241,65,41,1057,Human,-165172642#0,-157555050#0,3719.07,1475.13,4494.14,2880.53
242,163,133,1379,Human,36934860#3,-394443147#0,3845.59,2709.67,3474.4,758.28
243,164,127,1242,Human,-319058604#0,-1339510610,3386.34,2726.79,4397.92,2616.99
244,165,134,21,Human,36936327,269702544,3837.8,2708.41,3899.67,2386.95
245,166,135,110,Human,36936727#1,36288851#0,4291.14,2331.14,3518.05,2505.32
246,167,12,1351,Human,36935235#0,36936373#3,4067.04,2602.88,3899.86,2469.32
247,168,57,1517,Human,-153730938,-650145324#1,3978.73,2500.47,3827.79,2130.02
248,169,136,1137,Human,-394456385#1,-269702560,3537.42,2334.41,3941.58,2657.94
249,170,137,1797,Human,-269702560,-394456385#1,3943.58,2662.14,3607.64,2310.09
250,76,57,1255,Human,36935232,-650145324#1,4052.0,2739.71,3827.79,2130.02
251,171,138,503,Human,36934835#2,302162780#1,3572.43,2719.04,3589.37,1868.36
252,38,139,571,Human,39820659#3,-35801597#3,4519.49,2510.63,3072.88,2591.9
253,131,12,1788,Human,-153732960#0,36936373#3,4012.59,2075.93,3899.86,2469.32
254,172,40,259,Human,36936655#6,156467000#3,4157.17,2273.33,3001.2,3022.72
255,93,57,1673,Human,39820659#0,-650145324#1,4313.94,2424.12,3827.79,2130.02
256,42,122,159,Human,-36294081#3,36936590#5,4173.95,3956.32,3619.86,1700.55
257,173,140,385,Human,650145330#2,-37088673#0,3745.38,1953.6,4327.69,2357.22
258,123,141,269,Human,-394456379,36936423#2,4529.85,2988.53,3399.42,3066.79
259,114,142,1009,Human,36936262#1,37051113#1,3742.84,2915.2,3735.24,3079.46
260,174,55,1473,Human,-36293459#7,36936236#1,3956.04,3466.57,3815.36,2730.82
261,8,143,101,Human,1119245067,36936423#4,4203.72,2952.09,3450.17,3047.08
262,89,54,960,Human,36936373#4,-710478296,3900.31,2459.95,2455.87,2768.56
263,22,138,1308,Human,319058644,302162780#1,4323.02,2338.06,3589.37,1868.36
264,175,47,1316,Human,36785117#1,-328471845#0,3194.0,3043.54,4593.32,2654.54
265,134,57,1143,Human,-153730017,-650145324#1,4215.46,2041.61,3827.79,2130.02
266,176,4,490,Human,394456356#0,-394443151#2,4538.33,2995.24,3249.2,1483.56
267,134,144,1195,Human,-153730017,-156460681#1,4215.46,2041.61,3354.75,3818.0
268,3,145,1417,Human,-1119245057#1,319058640,4123.04,3588.62,3418.02,2278.52
269,46,10,1646,Human,-36950439#0,187827276,4465.26,2981.3,3101.9,3184.81
270,6,10,864,Human,-859784039#0,187827276,4354.56,3187.94,3101.9,3184.81
271,177,146,994,Human,153730013#0,-36933126#0,4247.18,2043.84,3673.05,2088.46
272,178,57,1761,Human,36936655#4,-650145324#1,4021.64,2178.39,3827.79,2130.02
273,134,147,1074,Human,-153730017,-36933307#1,4215.46,2041.61,3678.83,2456.48
274,174,148,1396,Human,-36293459#7,1239117013#2,3956.04,3466.57,3908.6,2004.19
275,124,31,244,Human,36934854#1,610135147#1,3772.48,2810.38,4386.22,1330.98
276,179,88,1205,Human,1057740871#0,36936407#1,3835.35,2768.55,3873.6,2882.48
277,180,14,112,Human,-697627694#1,-698026762,2686.89,2958.5,4914.44,2707.08
278,169,149,72,Human,-394456385#1,-156460683#8,3537.42,2334.41,3515.31,3709.15
279,82,143,126,Human,610135147#1,36936423#4,4435.44,1332.57,3450.17,3047.08
280,181,150,469,Human,-153730937,36936590#1,4061.01,2472.95,3580.73,1628.15
281,182,31,293,Human,36936423#3,610135147#1,3405.97,3064.26,4386.22,1330.98
282,101,116,214,Human,-36936288,36936396#3,3771.39,2749.23,4132.03,2750.69
283,183,83,340,Human,-394443152#1,-37052277#2,3641.17,1072.86,4040.07,3269.98
284,184,151,732,Human,-698024153,394456380,3650.26,1196.71,3798.0,3026.19
285,185,152,289,Human,39820659#2,156467000#0,4422.63,2456.98,3112.51,3053.48
286,54,153,571,Human,165170685#0,36934860#2,3533.55,1093.43,3836.32,2716.15
287,186,5,447,Human,-165170818#3,-1119245060#0,3490.43,816.38,4071.46,3446.76
288,187,147,1241,Human,-1119245071,-36933307#1,3988.6,2903.4,3678.83,2456.48
289,188,154,225,Human,-394443147#0,36936655#4,3536.6,873.76,4074.15,2240.28
290,189,2,1792,Human,-187827289,-156460683#5,2782.44,2996.94,3501.02,3995.22
291,58,155,832,Human,-153730010#2,-394446869,4532.39,2399.14,2994.76,1921.63
292,190,31,106,Human,-319058604#1,610135147#1,3375.9,2729.18,4386.22,1330.98
293,169,83,710,Human,-394456385#1,-37052277#2,3537.42,2334.41,4040.07,3269.98
294,23,82,819,Human,269702544,1239117012#1,3722.7,2378.13,3831.36,1955.83
295,191,126,1430,Human,36935235#2,-610220874#1,4083.54,2563.16,3471.58,2031.06
296,164,96,1311,Human,-319058604#0,153730941#1,3386.34,2726.79,4236.06,2654.51
297,138,147,39,Human,-1299820133,-36933307#1,3998.16,2974.81,3678.83,2456.48
298,52,156,893,Human,-36933151#0,36936655#3,3547.29,2149.14,4015.85,2171.46
299,192,134,1345,Human,-650145330#0,269702544,3731.83,1949.7,3899.67,2386.95
300,138,94,17,Human,-1299820133,36935040#2,3998.16,2974.81,3471.1,2990.86
301,193,83,1250,Human,-156460691,-37052277#2,3293.89,4209.57,4040.07,3269.98
302,194,157,700,Human,1339510612#2,36936423#5,3880.5,2688.7200000000003,3476.07,3036.77
303,195,158,1593,Human,39820664#7,-156480737#1,3436.635,2227.915,3871.5,3010.13
304,196,159,1312,Human,-37051625#2,-187827280#0,4167.94,3089.22,2992.89,3076.12
305,197,16,87,Human,156467000#0,-156460683#0,3134.28,3084.03,3345.56,4371.28
306,198,1,816,Human,698018294#1,37052930,3593.96,3001.35,3560.97,3019.52
307,117,160,501,Human,-36293459#0,-243836890#0,3699.05,3580.57,3315.57,2139.34
308,109,27,529,Human,-156460683#7,-36293459#8,3513.31,3717.1,3965.27,3464.79
309,199,71,1282,Human,-36294383#3,-35802097#1,4338.62,3387.81,3036.51,2745.83
310,116,135,249,Human,37050515#1,36288851#0,3960.81,2978.22,3518.05,2505.32
311,188,58,922,Human,-394443147#0,36950518#0,3536.6,873.76,4316.43,3044.17
312,200,40,1079,Human,-37055902#1,156467000#3,4178.73,3177.43,3001.2,3022.72
313,201,161,577,Human,37051441#2,-243836884#1,4216.24,3070.12,3284.93,1186.31
314,202,144,226,Human,-165172642#1,-156460681#1,3727.99,1408.3,3354.75,3818.0
315,26,54,428,Human,319058608#0,-710478296,4389.91,2616.46,2455.87,2768.56
