id,origin,destination,start_time,kind,origin_real_id,dest_real_id,origin_x,origin_y,dest_x,dest_y,vec_x,vec_y,cluster
37,33,27,1161,Human,-319779153,-36293459#8,4084.39,1983.65,3965.27,3464.79,-119.11999999999989,1481.1399999999999,0
38,34,28,1238,Human,-165170818#5,-37052277#3,3515.73,884.56,4030.33,3202.05,514.5999999999999,2317.4900000000002,1
39,35,2,188,Human,-36293459#6,-156460683#5,3934.97,3472.18,3501.02,3995.22,-433.9499999999998,523.04,0
40,36,2,1336,Human,-36294383#6,-156460683#5,4212.88,3721.15,3501.02,3995.22,-711.8600000000001,274.0699999999997,0
41,37,29,396,Human,-243836884#1,36936327,3369.88,1267.91,3608.17,2609.61,238.28999999999996,1341.7,1
42,38,22,1729,Human,39820659#3,36950506#0,4519.49,2510.63,4828.98,2712.21,309.4899999999998,201.57999999999993,0
43,38,14,701,Human,39820659#3,-698026762,4519.49,2510.63,4914.44,2707.08,394.9499999999998,196.44999999999982,0
44,39,30,694,Human,-35801597#3,165170685#1,3072.22,2602.05,3650.16,1196.12,577.94,-1405.9300000000003,4
45,40,3,122,Human,-157555050#0,-153730010#2,4393.79,2874.05,4571.17,2348.21,177.3800000000001,-525.8400000000001,0
46,41,27,1311,Human,36936423#5,-36293459#8,3458.92,3043.53,3965.27,3464.79,506.3499999999999,421.25999999999976,3
47,42,31,1066,Human,-36294081#3,610135147#1,4173.95,3956.32,4386.22,1330.98,212.27000000000044,-2625.34,6
48,43,32,490,Human,-394456356#1,37088258#0,4372.51,3216.85,4284.15,2952.66,-88.36000000000058,-264.19000000000005,0
49,38,33,239,Human,39820659#3,1119245067,4519.49,2510.63,4153.68,2947.95,-365.8099999999995,437.3199999999997,0
50,44,34,1055,Human,-319058608#1,-1239117016#2,4281.82,2623.94,4705.05,2572.13,423.2300000000005,-51.809999999999945,0
51,45,35,1117,Human,-37088673#1,-36936288,4662.75,2520.57,3646.98,2676.47,-1015.77,155.89999999999964,6
52,46,36,846,Human,-36950439#0,-153730020#0,4465.26,2981.3,3966.29,1830.89,-498.97000000000025,-1150.41,6
53,47,37,1746,Human,-153730020#0,-36950439#0,4070.25,1891.39,4300.89,2961.26,230.64000000000033,1069.8700000000001,6
54,24,38,131,Human,-153730015#3,218916675,4374.92,1827.81,3251.57,2917.13,-1123.35,1089.3200000000002,6
55,48,39,1762,Human,-156460683#6,-153730015#2,3512.34,3725.98,4346.45,2165.09,834.1099999999997,-1560.8899999999999,4
56,9,40,518,Human,1239117013#2,156467000#3,3751.5,1890.18,3001.2,3022.72,-750.3000000000002,1132.5399999999997,6
57,43,41,736,Human,-394456356#1,-157555050#0,4372.51,3216.85,4494.14,2880.53,121.63000000000011,-336.3199999999997,0
58,40,42,1336,Human,-157555050#0,37050033#0,4393.79,2874.05,4120.11,2933.12,-273.6800000000003,59.06999999999971,0
59,19,43,136,Human,-36294081#2,-165170994#3,4177.51,3921.11,3431.67,883.41,-745.8400000000001,-3037.7000000000003,6
60,49,34,562,Human,-36293752#5,-1239117016#2,3937.76,3614.93,4705.05,2572.13,767.29,-1042.7999999999997,4
61,50,44,682,Human,-1239117016#2,-36293752#5,4903.66,2701.44,3924.4,3580.73,-979.2599999999998,879.29,6
62,51,45,520,Human,-394446873#0,36936373#1,2984.05,1915.28,3897.31,2538.38,913.2599999999998,623.1000000000001,3
63,52,46,640,Human,-36933151#0,-394443146,3547.29,2149.14,3541.6,886.41,-5.690000000000055,-1262.73,6
64,53,47,1107,Human,36289159#1,-328471845#0,3945.83,2652.31,4593.32,2654.54,647.4899999999998,2.230000000000018,6
65,54,3,786,Human,165170685#0,-153730010#2,3533.55,1093.43,4571.17,2348.21,1037.62,1254.78,1
66,55,48,642,Human,-36950439#1,-36950506#2,4493.3,2985.34,4700.18,2679.41,206.8800000000001,-305.9300000000003,0
67,56,49,757,Human,-319779150#1,319058608#0,3959.72,1968.43,4324.42,2615.53,364.7000000000003,647.1000000000001,6
68,57,13,1625,Human,269702561#1,165172163,3998.19,2776.3,3660.57,1291.97,-337.6199999999999,-1484.3300000000002,6
69,58,50,133,Human,-153730010#2,-394456402#1,4532.39,2399.14,3335.39,4167.92,-1197.0000000000005,1768.7800000000002,6
70,59,51,895,Human,37088258#0,319058643#0,4287.62,2956.09,2556.1,2881.37,-1731.52,-74.72000000000025,6
71,60,52,1150,Human,-394446876#0,36935232,4460.03,2579.16,4007.34,2632.4,-452.6899999999996,53.24000000000024,0
72,61,53,2,Human,-328471845#0,157555049,4564.89,2648.34,4209.73,2946.46,-355.16000000000076,298.1199999999999,0
73,29,22,51,Human,-36934835#0,36950506#0,3634.66,2775.7,4828.98,2712.21,1194.3199999999997,-63.48999999999978,6
74,62,54,211,Human,-153732963#0,-710478296,4161.16,2120.46,2455.87,2768.56,-1705.29,648.0999999999999,6
75,63,52,1410,Human,187827272,36935232,3128.08,3122.69,4007.34,2632.4,879.2600000000002,-490.28999999999996,6
76,30,55,972,Human,-153730939#1,36936236#1,4190.23,2632.93,3815.36,2730.82,-374.86999999999944,97.89000000000033,0
77,61,56,1281,Human,-328471845#0,-918716575,4564.89,2648.34,3836.29,2895.17,-728.6000000000004,246.82999999999993,0
78,46,57,1152,Human,-36950439#0,-650145324#1,4465.26,2981.3,3827.79,2130.02,-637.4700000000003,-851.2800000000002,6
79,64,58,969,Human,-36950506#2,36950518#0,4646.92,2666.76,4316.43,3044.17,-330.4899999999998,377.40999999999985,0
80,65,59,1538,Human,-165172642#0,-1119245061,3719.07,1475.13,4157.33,3406.51,438.25999999999976,1931.38,1
81,66,60,278,Human,-153730008#2,-165172642#0,4268.59,1937.85,3705.59,1526.3,-563.0,-411.54999999999995,1
82,67,61,101,Human,-36950657#0,48956586#5,4481.08,2780.32,4274.58,2933.49,-206.5,153.16999999999962,0
83,68,62,1301,Human,48956586#5,-36950657#0,4283.2,2925.21,4436.23,2625.44,153.02999999999975,-299.77,0
84,69,63,588,Human,37088256,-36289599#0,4216.66,2905.68,4268.62,2629.65,51.960000000000036,-276.02999999999975,0
85,31,18,441,Human,-319058589#1,319058644,4593.5,2996.35,4321.64,2344.8,-271.8599999999997,-651.5499999999997,0
86,70,3,1278,Human,270968317#0,-153730010#2,3950.91,2852.63,4571.17,2348.21,620.2600000000002,-504.4200000000001,0
87,71,48,551,Human,-37055902#2,-36950506#2,4182.61,3242.53,4700.18,2679.41,517.5700000000006,-563.1200000000003,0
88,72,64,545,Human,36950506#0,39820659#0,4869.97,2719.55,4314.13,2424.18,-555.8400000000001,-295.37000000000035,0
89,73,2,1520,Human,-1339510609#0,-156460683#5,4495.01,2614.76,3501.02,3995.22,-993.9900000000002,1380.4599999999996,6
90,74,48,1401,Human,269702561#0,-36950506#2,3946.26,2664.14,4700.18,2679.41,753.9200000000001,15.269999999999982,6
91,75,65,325,Human,-710476024#1,157553231,4294.97,2463.85,4192.97,2738.59,-102.0,274.74000000000024,0
92,76,12,1624,Human,36935232,36936373#3,4052.0,2739.71,3899.86,2469.32,-152.13999999999987,-270.3899999999999,0
93,70,66,1298,Human,270968317#0,-165171782,3950.91,2852.63,3420.67,1164.81,-530.2399999999998,-1687.8200000000002,6
94,77,67,331,Human,153730941#1,-394446871#1,4194.45,2634.57,4325.25,2384.1,130.80000000000018,-250.47000000000025,0
95,72,68,1220,Human,36950506#0,48955996,4869.97,2719.55,4139.45,2887.46,-730.5200000000004,167.90999999999985,0
96,38,69,804,Human,39820659#3,37050051,4519.49,2510.63,4215.06,2952.07,-304.4299999999994,441.44000000000005,0
97,78,47,1551,Human,332885734#2,-328471845#0,4589.02,3230.73,4593.32,2654.54,4.299999999999272,-576.19,0
98,79,3,1797,Human,-36289599#0,-153730010#2,4242.73,2651.65,4571.17,2348.21,328.4400000000005,-303.44000000000005,0
99,59,42,1702,Human,37088258#0,37050033#0,4287.62,2956.09,4120.11,2933.12,-167.51000000000022,-22.970000000000255,0
100,77,48,1792,Human,153730941#1,-36950506#2,4194.45,2634.57,4700.18,2679.41,505.7300000000005,44.83999999999969,0
101,30,34,761,Human,-153730939#1,-1239117016#2,4190.23,2632.93,4705.05,2572.13,514.8200000000006,-60.79999999999973,0
102,38,52,492,Human,39820659#3,36935232,4519.49,2510.63,4007.34,2632.4,-512.1499999999996,121.76999999999998,0
103,80,70,1059,Human,35801597#4,-1339510609#0,3074.53,2616.62,4514.35,2626.35,1439.8200000000002,9.730000000000018,6
104,81,71,1489,Human,-394446873#2,-35802097#1,3014.98,2057.24,3036.51,2745.83,21.5300000000002,688.5900000000001,3
105,40,72,265,Human,-157555050#0,918716574#1,4393.79,2874.05,3751.98,2925.05,-641.81,51.0,0
106,82,58,1454,Human,610135147#1,36950518#0,4435.44,1332.57,4316.43,3044.17,-119.00999999999931,1711.6000000000001,1
107,36,27,940,Human,-36294383#6,-36293459#8,4212.88,3721.15,3965.27,3464.79,-247.61000000000013,-256.3600000000001,0
108,83,48,1153,Human,-859784611,-36950506#2,4824.42,3087.15,4700.18,2679.41,-124.23999999999978,-407.74000000000024,0
109,84,63,450,Human,48955997,-36289599#0,4182.54,2774.98,4268.62,2629.65,86.07999999999993,-145.32999999999993,0
110,79,73,1350,Human,-36289599#0,48955997,4242.73,2651.65,4145.64,2781.84,-97.08999999999924,130.19000000000005,0
111,64,37,763,Human,-36950506#2,-36950439#0,4646.92,2666.76,4300.89,2961.26,-346.02999999999975,294.5,0
112,23,14,431,Human,269702544,-698026762,3722.7,2378.13,4914.44,2707.08,1191.7399999999998,328.9499999999998,6
113,85,74,1398,Human,697624157#1,37050033#1,2898.56,3028.21,4141.15,2942.78,1242.5899999999997,-85.42999999999984,6
114,86,5,1751,Human,-156480737#3,-1119245060#0,3964.31,3277.83,4071.46,3446.76,107.15000000000009,168.9300000000003,0
115,87,75,817,Human,37050033#1,394446867#0,4133.27,2938.46,3428.07,2623.37,-705.2000000000003,-315.09000000000015,1
116,88,74,1177,Human,394446867#0,37050033#1,3396.33,2603.72,4141.15,2942.78,744.8199999999997,339.0600000000004,6
117,89,76,353,Human,36936373#4,36936423#6,3900.31,2459.95,3483.13,3034.23,-417.17999999999984,574.2800000000002,0
118,90,77,682,Human,-394443151#0,327343097#1,3232.24,1462.16,2908.89,2512.78,-323.3499999999999,1050.6200000000001,1
119,91,78,240,Human,37054132,-37054066,3357.53,3830.86,3769.23,3560.98,411.6999999999998,-269.8800000000001,4
120,92,79,1081,Human,-697704135,-1119245057#2,3315.24,3908.59,4127.53,3603.44,812.29,-305.1500000000001,4
121,93,80,721,Human,39820659#0,269702561#1,4313.94,2424.12,4015.63,2810.18,-298.3099999999995,386.05999999999995,0
122,94,81,402,Human,-156460683#5,-1057740876,3506.04,3889.74,2946.02,1684.47,-560.02,-2205.2699999999995,6
123,95,82,176,Human,153730020#1,1239117012#1,4083.8,1895.32,3831.36,1955.83,-252.44000000000005,60.50999999999999,1
124,96,83,8,Human,-319058602#0,-37052277#2,4348.17,3287.25,4040.07,3269.98,-308.0999999999999,-17.269999999999982,0
125,97,84,908,Human,-37052277#2,-319058602#0,4031.66,3211.36,4219.19,3374.78,187.52999999999975,163.42000000000007,0
126,43,85,78,Human,-394456356#1,-319779150#2,4372.51,3216.85,3965.38,1960.39,-407.1300000000001,-1256.4599999999998,6
127,76,86,255,Human,36935232,-157553230,4052.0,2739.71,4153.93,2457.42,101.93000000000029,-282.28999999999996,0
128,98,3,855,Human,-157553230,-153730010#2,4144.54,2503.79,4571.17,2348.21,426.6300000000001,-155.57999999999993,0
129,99,87,354,Human,48955996,-153730015#1,4140.51,2840.61,4343.63,2207.42,203.1199999999999,-633.19,0
130,100,4,909,Human,-36950518#1,-394443151#2,4325.56,3088.11,3249.2,1483.56,-1076.3600000000006,-1604.5500000000002,6
131,101,3,305,Human,-36936288,-153730010#2,3771.39,2749.23,4571.17,2348.21,799.7800000000002,-401.02,6
132,3,78,974,Human,-1119245057#1,-37054066,4123.04,3588.62,3769.23,3560.98,-353.80999999999995,-27.639999999999873,0
133,46,88,29,Human,-36950439#0,36936407#1,4465.26,2981.3,3873.6,2882.48,-591.6600000000003,-98.82000000000016,0
134,94,89,268,Human,-156460683#5,-36294383#6,3506.04,3889.74,4275.12,3531.19,769.0799999999999,-358.5499999999997,4
135,18,27,656,Human,-37055563#1,-36293459#8,4516.98,3642.19,3965.27,3464.79,-551.7099999999996,-177.4000000000001,0
136,102,57,371,Human,-36294383#4,-650145324#1,4283.16,3479.08,3827.79,2130.02,-455.3699999999999,-1349.06,6
137,103,69,1800,Human,-36293752#1,37050051,3898.74,3515.09,4215.06,2952.07,316.3200000000006,-563.02,0
138,104,3,1151,Human,-153732963#2,-153730010#2,4056.95,2170.4,4571.17,2348.21,514.2200000000003,177.80999999999995,6
139,76,2,1319,Human,36935232,-156460683#5,4052.0,2739.71,3501.02,3995.22,-550.98,1255.5099999999998,0
140,105,90,871,Human,-394443146,39820659#1,3577.1,969.88,4413.61,2454.28,836.5099999999998,1484.4,1
141,86,33,391,Human,-156480737#3,1119245067,3964.31,3277.83,4153.68,2947.95,189.37000000000035,-329.8800000000001,0
142,8,91,1291,Human,1119245067,-156480737#3,4203.72,2952.09,3933.94,3192.69,-269.7800000000002,240.5999999999999,0
143,106,2,1117,Human,1119245069,-156460683#5,4169.3,2902.24,3501.02,3995.22,-668.2800000000002,1092.98,0
144,107,92,1526,Human,-36934835#1,-36294383#8,3579.39,2720.93,4234.09,3863.96,654.7000000000003,1143.0300000000002,6
145,91,10,1538,Human,37054132,187827276,3357.53,3830.86,3101.9,3184.81,-255.6300000000001,-646.0500000000002,4
146,108,27,1575,Human,-37051625#0,-36293459#8,4014.39,3156.48,3965.27,3464.79,-49.11999999999989,308.30999999999995,0
147,94,93,1443,Human,-156460683#5,-37088332#3,3506.04,3889.74,4313.44,2757.08,807.3999999999996,-1132.6599999999999,4
148,49,83,1629,Human,-36293752#5,-37052277#2,3937.76,3614.93,4040.07,3269.98,102.30999999999995,-344.9499999999998,0
149,8,37,694,Human,1119245067,-36950439#0,4203.72,2952.09,4300.89,2961.26,97.17000000000007,9.170000000000073,0
150,109,1,756,Human,-156460683#7,37052930,3513.31,3717.1,3560.97,3019.52,47.659999999999854,-697.5799999999999,4
151,110,65,654,Human,37051872#0,157553231,4035.96,3463.37,4192.97,2738.59,157.01000000000022,-724.7799999999997,0
152,111,27,1399,Human,37050515#2,-36293459#8,3934.68,2984.74,3965.27,3464.79,30.590000000000146,480.0500000000002,0
153,112,94,259,Human,-36293752#6,36935040#2,3947.05,3638.69,3471.1,2990.86,-475.9500000000003,-647.8299999999999,6
154,113,2,272,Human,-1119245070,-156460683#5,3987.71,2888.77,3501.02,3995.22,-486.69000000000005,1106.4499999999998,0
155,78,95,955,Human,332885734#2,319058612#1,4589.02,3230.73,3945.85,2862.2250000000004,-643.1700000000005,-368.50499999999965,0
156,114,96,1060,Human,36936262#1,153730941#1,3742.84,2915.2,4236.06,2654.51,493.22000000000025,-260.6899999999996,6
157,103,97,460,Human,-36293752#1,36936262#1,3898.74,3515.09,3745.02,2921.63,-153.7199999999998,-593.46,0
158,42,98,1528,Human,-36294081#3,-36934835#0,4173.95,3956.32,3673.97,2819.83,-499.98,-1136.4900000000002,6
159,115,57,456,Human,-36288941#1,-650145324#1,3920.23,2754.04,3827.79,2130.02,-92.44000000000005,-624.02,0
160,116,99,79,Human,37050515#1,-36950439#1,3960.81,2978.22,4474.44,2982.54,513.6299999999997,4.320000000000164,0
161,117,2,1152,Human,-36293459#0,-156460683#5,3699.05,3580.57,3501.02,3995.22,-198.0300000000002,414.64999999999964,0
162,97,100,1750,Human,-37052277#2,1119245069,4031.66,3211.36,4146.16,2896.01,114.5,-315.3499999999999,0
163,118,101,677,Human,-36294383#9,153730936#3,4556.44,3888.2,3909.75,2386.72,-646.6899999999996,-1501.48,6
164,119,102,1749,Human,-1119245061,36936407#0,4210.82,3379.03,3891.48,2875.87,-319.3399999999997,-503.1600000000003,0
165,120,103,1778,Human,157553231,-156460672,4194.86,2731.56,3441.35,3968.36,-753.5099999999998,1236.8000000000002,6
166,121,104,98,Human,-476687231#1,918716574#0,4029.1,3657.47,3773.79,2917.64,-255.30999999999995,-739.8299999999999,0
167,122,33,1259,Human,-36293459#3,1119245067,3840.27,3511.59,4153.68,2947.95,313.4100000000003,-563.6400000000003,0
168,123,83,1602,Human,-394456379,-37052277#2,4529.85,2988.53,4040.07,3269.98,-489.7800000000002,281.4499999999998,0
169,58,2,101,Human,-153730010#2,-156460683#5,4532.39,2399.14,3501.02,3995.22,-1031.3700000000003,1596.08,6
170,124,47,1775,Human,36934854#1,-328471845#0,3772.48,2810.38,4593.32,2654.54,820.8399999999997,-155.84000000000015,6
171,125,105,904,Human,-153730934,-156480737#2,4070.29,2570.07,3903.65,3084.79,-166.63999999999987,514.7199999999998,0
172,126,49,1630,Human,-36288941#0,319058608#0,3930.36,2798.02,4324.42,2615.53,394.05999999999995,-182.48999999999978,0
173,127,106,1015,Human,-710478296,-36293752#1,2365.52,2771.98,3898.63,3514.81,1533.1100000000001,742.8299999999999,6
174,128,83,698,Human,36936727#4,-37052277#2,4155.16,2279.37,4040.07,3269.98,-115.08999999999969,990.6100000000001,0
175,77,107,1539,Human,153730941#1,-1109771198#0,4194.45,2634.57,3844.59,2803.21,-349.8599999999997,168.63999999999987,0
176,23,83,1612,Human,269702544,-37052277#2,3722.7,2378.13,4040.07,3269.98,317.37000000000035,891.8499999999999,6
177,12,108,544,Human,-36294081#1,-650145330#0,4177.48,3912.82,3732.31,1948.22,-445.1699999999996,-1964.6000000000001,6
178,129,109,965,Human,-36293459#8,-153730939#0,4017.48,3459.62,4099.55,2672.14,82.07000000000016,-787.48,0
179,130,110,34,Human,-394446871#1,36936590#6,4411.05,2399.53,3656.16,1766.12,-754.8900000000003,-633.4100000000003,1
180,131,111,1317,Human,-153732960#0,-1024000539#1,4012.59,2075.93,4170.36,3281.61,157.76999999999953,1205.6800000000003,6
181,132,112,1756,Human,-153730935,-48956015,4145.19,2656.45,4136.19,2898.88,-9.0,242.4300000000003,0
182,133,33,928,Human,37050033#0,1119245067,3993.62,2897.49,4153.68,2947.95,160.0600000000004,50.460000000000036,0
183,134,78,172,Human,-153730017,-37054066,4215.46,2041.61,3769.23,3560.98,-446.23,1519.3700000000001,0
184,135,52,193,Human,157555049,36935232,4211.8,2919.22,4007.34,2632.4,-204.46000000000004,-286.8199999999997,0
185,133,65,551,Human,37050033#0,157553231,3993.62,2897.49,4192.97,2738.59,199.35000000000036,-158.89999999999964,0
186,120,42,1451,Human,157553231,37050033#0,4194.86,2731.56,4120.11,2933.12,-74.75,201.55999999999995,0
187,136,100,49,Human,319058612#1,1119245069,3956.375,2874.34,4146.16,2896.01,189.78499999999985,21.670000000000073,0
188,137,48,502,Human,1238956370,-36950506#2,3613.94,2990.81,4700.18,2679.41,1086.2400000000002,-311.4000000000001,6
189,138,113,808,Human,-1299820133,36936396#0,3998.16,2974.81,4066.13,2788.05,67.97000000000025,-186.75999999999976,0
190,30,60,575,Human,-153730939#1,-165172642#0,4190.23,2632.93,3705.59,1526.3,-484.6399999999994,-1106.6299999999999,1
191,139,33,1105,Human,36936373#1,1119245067,3897.03,2558.65,4153.68,2947.95,256.6500000000001,389.2999999999997,6
192,93,28,1593,Human,39820659#0,-37052277#3,4313.94,2424.12,4030.33,3202.05,-283.6099999999997,777.9300000000003,0
193,6,0,1652,Human,-859784039#0,-243836884#5,4354.56,3187.94,3452.5,1409.57,-902.0600000000004,-1778.3700000000001,6
194,87,83,184,Human,37050033#1,-37052277#2,4133.27,2938.46,4040.07,3269.98,-93.20000000000027,331.52,0
195,97,74,1084,Human,-37052277#2,37050033#1,4031.66,3211.36,4141.15,2942.78,109.48999999999978,-268.5799999999999,0
196,1,114,1501,Human,-165171783#1,406210869#0,3548.82,1309.9,4083.78,2886.23,534.96,1576.33,1
197,140,95,76,Human,36936396#0,319058612#1,4034.9,2805.24,3945.85,2862.2250000000004,-89.05000000000018,56.98500000000058,0
198,47,115,1638,Human,-153730020#0,-153730016#0,4070.25,1891.39,4462.69,2191.67,392.4399999999996,300.28,6
199,141,47,1603,Human,918716574#1,-328471845#0,3763.13,2921.21,4593.32,2654.54,830.1899999999996,-266.6700000000001,6
200,142,83,1784,Human,270968317#1,-37052277#2,4023.16,2812.26,4040.07,3269.98,16.91000000000031,457.7199999999998,0
201,115,33,350,Human,-36288941#1,1119245067,3920.23,2754.04,4153.68,2947.95,233.45000000000027,193.90999999999985,6
202,7,30,378,Human,36936590#6,165170685#1,3624.39,1709.24,3650.16,1196.12,25.769999999999982,-513.1200000000001,6
203,143,116,1578,Human,-153730011,36936396#3,4283.63,2122.53,4132.03,2750.69,-151.60000000000036,628.1599999999999,0
204,144,117,1242,Human,878854448,36933307#2,4188.16,2728.58,3742.75,2526.52,-445.40999999999985,-202.05999999999995,0
205,23,63,697,Human,269702544,-36289599#0,3722.7,2378.13,4268.62,2629.65,545.9200000000001,251.51999999999998,6
206,145,95,367,Human,270968324,319058612#1,3983.9,2439.01,3945.85,2862.2250000000004,-38.05000000000018,423.21500000000015,0
207,29,96,1204,Human,-36934835#0,153730941#1,3634.66,2775.7,4236.06,2654.51,601.4000000000005,-121.1899999999996,6
208,146,118,1608,Human,-165172307#0,-36294383#5,3837.47,1456.67,4281.55,3486.0,444.0800000000004,2029.33,1
209,147,119,1473,Human,319058602#1,1239117012#5,4356.15,3275.19,3665.9,1794.7,-690.2499999999995,-1480.49,6
210,148,120,184,Human,-394456385#0,-36950506#1,3615.21,2304.51,4820.49,2706.93,1205.2799999999997,402.4199999999996,6
211,149,31,1726,Human,-339700984,610135147#1,3213.47,2576.37,4386.22,1330.98,1172.7500000000005,-1245.3899999999999,6
212,94,31,100,Human,-156460683#5,610135147#1,3506.04,3889.74,4386.22,1330.98,880.1800000000003,-2558.7599999999998,4
213,150,95,287,Human,36936749#4,319058612#1,4278.74,2067.0,3945.85,2862.2250000000004,-332.8899999999999,795.2250000000004,0
214,151,48,1453,Human,-35801699#1,-36950506#2,3094.16,2735.95,4700.18,2679.41,1606.0200000000004,-56.539999999999964,6
215,98,45,424,Human,-157553230,36936373#1,4144.54,2503.79,3897.31,2538.38,-247.23000000000002,34.590000000000146,0
216,98,4,789,Human,-157553230,-394443151#2,4144.54,2503.79,3249.2,1483.56,-895.3400000000001,-1020.23,1
217,125,121,914,Human,-153730934,-36288941#0,4070.29,2570.07,3944.06,2849.73,-126.23000000000002,279.65999999999985,0
218,152,57,1792,Human,36935235#3,-650145324#1,4102.43,2546.32,3827.79,2130.02,-274.6400000000003,-416.3000000000002,1
219,100,122,8,Human,-36950518#1,36936590#5,4325.56,3088.11,3619.86,1700.55,-705.7000000000003,-1387.5600000000002,6
220,153,77,904,Human,156467000#3,327343097#1,3060.11,3034.91,2908.89,2512.78,-151.22000000000025,-522.1299999999997,3
221,64,123,214,Human,-36950506#2,-36933126#1,4646.92,2666.76,3698.61,2168.79,-948.31,-497.97000000000025,1
