start_time,origin,destination,kind,origin_real_id,dest_real_id,origin_x,origin_y,dest_x,dest_y,cluster
450,1,42,Human,10425609#0,-218647954,213091.635,451303.575,212214.255,451816.61,13
451,11,4,Human,128361109#1,399835085#1,211442.47,452097.55,212001.44,453157.175,14
452,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,0
453,31,2,Human,24634416,32978638#0,213252.9,452163.915,213633.66,451984.92,0
453,11,2,Human,128361109#1,32978638#0,211442.47,452097.55,213633.66,451984.92,7
455,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,0
456,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,3
458,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,3
459,4,5,Human,-306240162#1,-266565295#5,211638.505,452888.985,213811.85,452244.51,16
462,44,20,Human,24634510#1,272042145,212663.995,452139.52,213478.39,452442.76,9
462,21,4,Human,24599188#0.94,399835085#1,213342.76,451641.085,212001.44,453157.175,0
464,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,9
465,21,43,Human,24599188#0.94,22724699#7,213342.76,451641.085,212272.47,452437.7,0
468,43,2,Human,40888360#0,32978638#0,212744.5,452410.79,213633.66,451984.92,7
474,45,10,Human,-224892361#8,306240162#0,211865.015,452381.815,211642.94,452890.83,1
474,11,4,Human,128361109#1,399835085#1,211442.47,452097.55,212001.44,453157.175,14
481,16,9,Human,-32978638#0,201238729#3,213640.75,451987.935,211438.31,452110.43,0
481,4,5,Human,-306240162#1,-266565295#5,211638.505,452888.985,213811.85,452244.51,16
482,2,2,Human,24608844,32978638#0,213600.045,452309.8,213633.66,451984.92,7
483,16,44,Human,-32978638#0,26677214#3,213640.75,451987.935,212821.455,452899.6,0
484,16,10,Human,-32978638#0,306240162#0,213640.75,451987.935,211642.94,452890.83,0
487,46,3,Human,54169231#1,386687235,212881.24,452796.7,213478.36,452435.42,9
491,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,0
495,47,20,Human,315392062#0,272042145,213156.245,451990.345,213478.39,452442.76,8
495,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,0
500,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,0
500,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,3
504,48,3,Human,53396619#4,386687235,213145.7,452689.745,213478.36,452435.42,9
507,49,3,Human,-201950247#0,386687235,213053.065,452789.84,213478.36,452435.42,9
508,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,0
512,21,4,Human,24599188#0.94,399835085#1,213342.76,451641.085,212001.44,453157.175,0
515,50,12,Human,-24634411,447569997#1,212931.69,452439.76,213435.6,452999.15,18
515,22,20,Human,176550249#3,272042145,212398.57,452249.84,213478.39,452442.76,8
516,16,45,Human,-32978638#0,24634414#2,213640.75,451987.935,213241.83,452166.63,8
517,16,10,Human,-32978638#0,306240162#0,213640.75,451987.935,211642.94,452890.83,0
521,7,1,Human,272042143,-128361102#1,213484.675,452457.545,211388.46,451952.25,0
521,16,46,Human,-32978638#0,-160314346#0,213640.75,451987.935,212876.35,452157.925,0
522,7,4,Human,272042143,399835085#1,213484.675,452457.545,212001.44,453157.175,0
524,11,20,Human,128361109#1,272042145,211442.47,452097.55,213478.39,452442.76,8
524,4,5,Human,-306240162#1,-266565295#5,211638.505,452888.985,213811.85,452244.51,16
525,17,5,Human,-18809673#6,-266565295#5,211318.32,451074.855,213811.85,452244.51,7
528,11,47,Human,128361109#1,201201953#10,211442.47,452097.55,211972.52,452232.29,14
529,11,5,Human,128361109#1,-266565295#5,211442.47,452097.55,213811.85,452244.51,7
531,51,20,Human,176550249#4,272042145,212591.23,452310.34,213478.39,452442.76,8
533,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,3
534,4,5,Human,-306240162#1,-266565295#5,211638.505,452888.985,213811.85,452244.51,16
536,4,5,Human,-306240162#1,-266565295#5,211638.505,452888.985,213811.85,452244.51,16
537,11,20,Human,128361109#1,272042145,211442.47,452097.55,213478.39,452442.76,8
541,17,5,Human,-18809673#6,-266565295#5,211318.32,451074.855,213811.85,452244.51,7
546,11,20,Human,128361109#1,272042145,211442.47,452097.55,213478.39,452442.76,8
547,11,20,Human,128361109#1,272042145,211442.47,452097.55,213478.39,452442.76,8
548,17,5,Human,-18809673#6,-266565295#5,211318.32,451074.855,213811.85,452244.51,7
549,11,5,Human,128361109#1,-266565295#5,211442.47,452097.55,213811.85,452244.51,7
551,11,5,Human,128361109#1,-266565295#5,211442.47,452097.55,213811.85,452244.51,7
552,4,5,Human,-306240162#1,-266565295#5,211638.505,452888.985,213811.85,452244.51,16
555,52,20,Human,-24634505,272042145,212842.27,452191.025,213478.39,452442.76,8
562,0,2,Human,315358244,32978638#0,212975.4675,453432.9725,213633.66,451984.92,6
563,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,9
564,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,9
565,0,2,Human,315358244,32978638#0,212975.4675,453432.9725,213633.66,451984.92,6
572,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,9
573,11,20,Human,128361109#1,272042145,211442.47,452097.55,213478.39,452442.76,8
578,8,48,Human,266565295#5,28111977#9,213807.23,452252.93,212473.195,451372.475,13
579,36,16,Human,286646456#1,30482615#1,211979.335,452780.735,212028.14,450765.2,13
588,39,9,Human,23166741#2,201238729#3,213173.07,452474.34,211438.31,452110.43,0
593,8,49,Human,266565295#5,-25145011#0,213807.23,452252.93,212799.735,451424.525,13
593,4,50,Human,-306240162#1,-170018165#0,211638.505,452888.985,211856.56,452362.91,1
599,4,5,Human,-306240162#1,-266565295#5,211638.505,452888.985,213811.85,452244.51,16
600,17,5,Human,-18809673#6,-266565295#5,211318.32,451074.855,213811.85,452244.51,7
